class,scientific_name,common_name
Mammalia,Felis catus,Cat
Mammalia,Canis lupus familiaris,Dog
Mammalia,Equus ferus caballus,Horse
Mammalia,Bos taurus,Cow
Mammalia,Sus scrofa domesticus,Pig
Mammalia,Ovis aries,Sheep
Mammalia,Capra aegagrus hircus,Goat
Mammalia,Rattus norvegicus,Brown Rat
Mammalia,Mus musculus,House Mouse
Mammalia,Macaca mulatta,Rhesus Macaque
Mammalia,Pan troglodytes,Chimpanzee
Mammalia,Gorilla gorilla,Gorilla
Mammalia,Loxodonta africana,African Elephant
Mammalia,Panthera leo,Lion
Mammalia,Panthera tigris,Tiger
Mammalia,Ursus arctos,Brown Bear
Mammalia,Canis lupus,Wolf
Mammalia,Vulpes vulpes,Red Fox
Mammalia,Oryctolagus cuniculus,Rabbit
Mammalia,Orycteropus afer,Aardvark
Mammalia,Equus asinus,Donkey
Mammalia,Lama glama,Llama
Mammalia,Vicugna pacos,Alpaca
Mammalia,Cervus elaphus,Red Deer
Mammalia,Alces alces,Moose
Mammalia,Odocoileus virginianus,White-tailed Deer
Mammalia,Bubalus bubalis,Water Buffalo
Mammalia,Camelus dromedarius,Dromedary Camel
Mammalia,Camelus bactrianus,Bactrian Camel
Mammalia,Equus zebra,Zebra
Mammalia,Tapirus terrestris,Brazilian Tapir
Mammalia,Dama dama,Fallow Deer
Mammalia,Pteropus vampyrus,Large Flying Fox
Mammalia,Chinchilla lanigera,Chinchilla
Mammalia,Sciurus carolinensis,Eastern Gray Squirrel
Mammalia,Castor canadensis,North American Beaver
Mammalia,Erinaceus europaeus,European Hedgehog
Mammalia,Sorex araneus,Common Shrew
Mammalia,Dasypus novemcinctus,Nine-banded Armadillo
Mammalia,Monodelphis domestica,Gray Short-tailed Opossum
Mammalia,Peromyscus maniculatus,Deer Mouse
Mammalia,Microtus ochrogaster,Prairie Vole
Mammalia,Heterocephalus glaber,Naked Mole-rat
Mammalia,Myotis lucifugus,Little Brown Bat
Mammalia,Eptesicus fuscus,Big Brown Bat
Mammalia,Tadarida brasiliensis,Brazilian Free-tailed Bat
